CAL_DT,CAL_TYPE_DESC,DAY_OF_WK_NUM,DAY_OF_WK_DESC,YR_NUM,WK_NUM,YR_WK_NUM,MNTH_NUM,YR_MNTH_NUM,QTR_NUM,YR_QTR_NUM
1998-06-04,Fiscal,4,Thursday,1998,23,199823,6,19986,2,19982
1998-04-27,Fiscal,1,Monday,1998,18,199818,5,19985,2,19982
1998-05-13,Fiscal,3,Wednesday,1998,20,199820,5,19985,2,19982
1998-02-08,Fiscal,0,Sunday,1998,7,199807,2,19982,1,19981
1998-04-08,Fiscal,3,Wednesday,1998,15,199815,4,19984,2,19982
1997-12-29,Fiscal,1,Monday,1998,1,199801,1,19981,1,19981
1998-09-14,Fiscal,1,Monday,1998,38,199838,9,19989,3,19983
1998-10-21,Fiscal,3,Wednesday,1998,43,199843,10,199810,4,19984
1998-09-21,Fiscal,1,Monday,1998,39,199839,9,19989,3,19983
1998-05-11,Fiscal,1,Monday,1998,20,199820,5,19985,2,19982
1999-03-19,Fiscal,5,Friday,1999,12,199912,3,19993,1,19991
2001-12-27,Fiscal,4,Thursday,2001,52,200152,12,200112,4,20014
2007-05-30,Fiscal,3,Wednesday,2007,22,200722,5,20075,2,20072
2022-05-28,Fiscal,6,Saturday,2022,21,202221,5,20225,2,20222
1999-06-01,Fiscal,2,Tuesday,1999,23,199923,6,19996,2,19992
2000-04-06,Fiscal,4,Thursday,2000,15,200015,4,20004,2,20002
2016-10-22,Fiscal,6,Saturday,2016,42,201642,10,201610,4,20164
2019-01-24,Fiscal,4,Thursday,2019,4,201904,1,20191,1,20191
2023-12-02,Fiscal,6,Saturday,2023,48,202348,11,202311,4,20234
2002-03-12,Fiscal,2,Tuesday,2002,11,200211,3,20023,1,20021
2015-09-26,Fiscal,6,Saturday,2015,39,201539,9,20159,3,20153
2007-06-14,Fiscal,4,Thursday,2007,24,200724,6,20076,2,20072
2019-06-30,Fiscal,0,Sunday,2019,27,201927,7,20197,3,20193
2026-09-29,Fiscal,2,Tuesday,2026,40,202640,10,202610,4,20264
2000-11-28,Fiscal,2,Tuesday,2000,49,200049,12,200012,4,20004
2018-01-13,Fiscal,6,Saturday,2018,2,201802,1,20181,1,20181
2017-04-26,Fiscal,3,Wednesday,2017,17,201717,4,20174,2,20172
1999-06-07,Fiscal,1,Monday,1999,24,199924,6,19996,2,19992
2022-04-23,Fiscal,6,Saturday,2022,16,202216,4,20224,2,20222
2000-11-14,Fiscal,2,Tuesday,2000,47,200047,11,200011,4,20004
2018-02-02,Fiscal,5,Friday,2018,5,201805,1,20181,1,20181
2008-02-09,Fiscal,6,Saturday,2008,6,200806,2,20082,1,20081
2019-04-28,Fiscal,0,Sunday,2019,18,201918,4,20194,2,20192
2021-04-16,Fiscal,5,Friday,2021,15,202115,4,20214,2,20212
2000-06-17,Fiscal,6,Saturday,2000,25,200025,6,20006,2,20002
2010-09-30,Fiscal,4,Thursday,2010,39,201039,9,20109,3,20103
2016-11-27,Fiscal,0,Sunday,2016,48,201648,11,201611,4,20164
2019-06-13,Fiscal,4,Thursday,2019,24,201924,6,20196,2,20192
2024-05-03,Fiscal,5,Friday,2024,18,202418,4,20244,2,20242
2002-04-08,Fiscal,1,Monday,2002,15,200215,4,20024,2,20022
2001-10-01,Fiscal,1,Monday,2001,40,200140,10,200110,4,20014
2014-12-17,Fiscal,3,Wednesday,2014,51,201451,12,201412,4,20144
2004-01-21,Fiscal,3,Wednesday,2004,4,200404,1,20041,1,20041
2025-11-20,Fiscal,4,Thursday,2025,47,202547,11,202511,4,20254
1999-01-31,Fiscal,0,Sunday,1999,6,199906,2,19992,1,19991
2018-03-26,Fiscal,1,Monday,2018,13,201813,3,20183,1,20181
2014-10-23,Fiscal,4,Thursday,2014,43,201443,10,201410,4,20144
2005-05-08,Fiscal,0,Sunday,2005,19,200519,5,20055,2,20052
2026-10-09,Fiscal,5,Friday,2026,41,202641,10,202610,4,20264
2016-04-03,Fiscal,0,Sunday,2016,14,201614,4,20164,2,20162
1999-03-24,Fiscal,3,Wednesday,1999,13,199913,3,19993,1,19991
2017-10-31,Fiscal,2,Tuesday,2017,44,201744,10,201710,4,20174
2015-05-19,Fiscal,2,Tuesday,2015,21,201521,5,20155,2,20152
2025-07-20,Fiscal,0,Sunday,2025,30,202530,7,20257,3,20253
2016-02-15,Fiscal,1,Monday,2016,7,201607,2,20162,1,20161
2001-09-10,Fiscal,1,Monday,2001,37,200137,9,20019,3,20013
2017-04-20,Fiscal,4,Thursday,2017,16,201716,4,20174,2,20172
2000-02-09,Fiscal,3,Wednesday,2000,7,200007,2,20002,1,20001
2021-01-19,Fiscal,2,Tuesday,2021,3,202103,1,20211,1,20211
2000-03-17,Fiscal,5,Friday,2000,12,200012,3,20003,1,20001
2001-03-29,Fiscal,4,Thursday,2001,13,200113,3,20013,1,20011
2016-11-10,Fiscal,4,Thursday,2016,45,201645,11,201611,4,20164
2019-04-12,Fiscal,5,Friday,2019,15,201915,4,20194,2,20192
2024-02-24,Fiscal,6,Saturday,2024,8,202408,2,20242,1,20241
2001-07-26,Fiscal,4,Thursday,2001,30,200130,7,20017,3,20013
2020-01-03,Fiscal,5,Friday,2020,1,202001,1,20201,1,20201
2011-08-13,Fiscal,6,Saturday,2011,32,201132,8,20118,3,20113
2002-06-19,Fiscal,3,Wednesday,2002,25,200225,6,20026,2,20022
2023-09-06,Fiscal,3,Wednesday,2023,36,202336,9,20239,3,20233
2018-07-12,Fiscal,4,Thursday,2018,28,201828,7,20187,3,20183
2015-09-15,Fiscal,2,Tuesday,2015,38,201538,9,20159,3,20153
2008-03-13,Fiscal,4,Thursday,2008,11,200811,3,20083,1,20081
2004-06-03,Fiscal,4,Thursday,2004,23,200423,6,20046,2,20042
2025-12-18,Fiscal,4,Thursday,2025,51,202551,12,202512,4,20254
2003-09-29,Fiscal,1,Monday,2003,40,200340,10,200310,4,20034
2010-10-22,Fiscal,5,Friday,2010,42,201042,10,201010,4,20104
2010-01-19,Fiscal,2,Tuesday,2010,3,201003,1,20101,1,20101
2011-01-21,Fiscal,5,Friday,2011,3,201103,1,20111,1,20111
2026-06-16,Fiscal,2,Tuesday,2026,25,202625,6,20266,2,20262
2003-05-16,Fiscal,5,Friday,2003,20,200320,5,20035,2,20032
2010-10-21,Fiscal,4,Thursday,2010,42,201042,10,201010,4,20104
2011-10-08,Fiscal,6,Saturday,2011,40,201140,10,201110,4,20114
2002-02-16,Fiscal,6,Saturday,2002,7,200207,2,20022,1,20021
2024-05-09,Fiscal,4,Thursday,2024,19,202419,5,20245,2,20242
2016-02-13,Fiscal,6,Saturday,2016,6,201606,2,20162,1,20161
2010-10-15,Fiscal,5,Friday,2010,41,201041,10,201010,4,20104
2015-07-30,Fiscal,4,Thursday,2015,31,201531,7,20157,3,20153
2023-03-14,Fiscal,2,Tuesday,2023,11,202311,3,20233,1,20231
1999-10-10,Fiscal,0,Sunday,1999,42,199942,10,199910,4,19994
2002-11-22,Fiscal,5,Friday,2002,47,200247,11,200211,4,20024
2010-07-08,Fiscal,4,Thursday,2010,27,201027,7,20107,3,20103
2013-03-06,Fiscal,3,Wednesday,2013,10,201310,3,20133,1,20131
2025-04-30,Fiscal,3,Wednesday,2025,18,202518,4,20254,2,20252
2000-08-24,Fiscal,4,Thursday,2000,35,200035,9,20009,3,20003
2002-04-10,Fiscal,3,Wednesday,2002,15,200215,4,20024,2,20022
2014-09-12,Fiscal,5,Friday,2014,37,201437,9,20149,3,20143
2011-04-25,Fiscal,1,Monday,2011,17,201117,4,20114,2,20112
2025-11-28,Fiscal,5,Friday,2025,48,202548,11,202511,4,20254
2002-11-10,Fiscal,0,Sunday,2002,46,200246,11,200211,4,20024
2003-12-21,Fiscal,0,Sunday,2003,52,200352,12,200312,4,20034
2017-11-29,Fiscal,3,Wednesday,2017,48,201748,11,201711,4,20174
2006-07-29,Fiscal,6,Saturday,2006,30,200630,7,20067,3,20063
2026-11-20,Fiscal,5,Friday,2026,47,202647,11,202611,4,20264
2008-02-12,Fiscal,2,Tuesday,2008,7,200807,2,20082,1,20081
2010-09-19,Fiscal,0,Sunday,2010,38,201038,9,20109,3,20103
1999-04-25,Fiscal,0,Sunday,1999,18,199918,5,19995,2,19992
2021-03-04,Fiscal,4,Thursday,2021,9,202109,2,20212,1,20211
2002-10-05,Fiscal,6,Saturday,2002,40,200240,10,200210,4,20024
2010-02-07,Fiscal,0,Sunday,2010,6,201006,2,20102,1,20101
2005-09-29,Fiscal,4,Thursday,2005,39,200539,9,20059,3,20053
2009-01-06,Fiscal,2,Tuesday,2009,2,200902,1,20091,1,20091
2023-01-11,Fiscal,3,Wednesday,2023,2,202302,1,20231,1,20231
2016-01-04,Fiscal,1,Monday,2016,1,201601,1,20161,1,20161
2010-10-11,Fiscal,1,Monday,2010,41,201041,10,201010,4,20104
2017-04-14,Fiscal,5,Friday,2017,15,201715,4,20174,2,20172
2009-05-09,Fiscal,6,Saturday,2009,19,200919,5,20095,2,20092
2021-10-20,Fiscal,3,Wednesday,2021,42,202142,10,202110,4,20214
2009-06-10,Fiscal,3,Wednesday,2009,24,200924,6,20096,2,20092
1999-04-16,Fiscal,5,Friday,1999,16,199916,4,19994,2,19992
1999-12-20,Fiscal,1,Monday,1999,52,199952,12,199912,4,19994
2021-04-14,Fiscal,3,Wednesday,2021,15,202115,4,20214,2,20212
2020-03-28,Fiscal,6,Saturday,2020,13,202013,3,20203,1,20201
2019-11-29,Fiscal,5,Friday,2019,48,201948,11,201911,4,20194
